# CRC simbol yang diminta modul vendor Infinity-X 3.12 (vendor_dlkm + vendor_boot), format: crc<TAB>simbol<TAB>contoh-modul
0xf481ff28	__drm_atomic_helper_plane_duplicate_state	msm_drm.ko
0xc81aa100	__drm_atomic_helper_private_obj_duplicate_state	msm_drm.ko
0xb9cad492	__drm_atomic_state_free	msm_drm.ko
0xec12af74	__drm_dbg	msm_drm.ko
0x4f18a150	__drm_debug	msm_drm.ko
0xb11ac7a7	__drm_err	msm_drm.ko
0xc1d8cfaf	__fdget	gh_virtio_backend.ko
0x17fa3d89	__free_pages	camera.ko,coresight-tmc.ko,ipam.ko...
0x6a5cb5ee	__get_free_pages	gh_virtio_backend.ko,qcom-scm.ko,zram.ko
0x651eea92	__get_mtd_device	mtd_blkdevs.ko
0x12cf047c	__get_task_comm	msm_kgsl.ko,qcom_sync_file.ko,stm_core.ko
0x45989981	__gpr_driver_register	audio_pkt_dlkm.ko,audio_prm_dlkm.ko,spf_core_dlkm.ko
0xed269ad2	__hrtimer_get_remaining	qcom-hv-haptics.ko,qcom_lpm.ko,rmnet_wlan.ko
0x0c922cc7	__hwspin_lock_timeout	smem.ko
0x2aac8a01	__hwspin_unlock	smem.ko
0xd88b4572	__icnss_register_driver	qca_cld3_adrastea.ko
0xf5a94b83	__init_rwsem	fsa4480-i2c.ko,lpass_cdc_dlkm.ko,msm_drm.ko...
0x608741b5	__init_swait_queue_head	altmode-glink.ko,camera.ko,cdsprm.ko...
0xd9a5ea54	__init_waitqueue_head	audio_pkt_dlkm.ko,audio_prm_dlkm.ko,camera.ko...
0x3801776b	__ioread32_copy	qcom_smd.ko
0x6b4b2933	__ioremap	camera.ko,coresight-hwevent.ko,cpufreq_stats_scmi.ko...
0x2dba276a	__iowrite32_copy	qcom_aoss.ko,qcom_smd.ko
0x0d542439	__ipv6_addr_type	qca_cld3_adrastea.ko,rmnet_core.ko
0x73d2ee76	__irq_domain_add	msm_drm.ko,pci-msm-drv.ko,qcom-i2c-pmic.ko...
0x139f2189	__kfifo_alloc	qcom_esoc.ko,radio-i2c-rtc6226-qca.ko
0xdb760f52	__kfifo_free	qcom_esoc.ko
0xf23fcb99	__kfifo_in	hvc_gunyah.ko,qcom_esoc.ko,radio-i2c-rtc6226-qca.ko
0x13d0adf7	__kfifo_out	hvc_gunyah.ko,qcom_esoc.ko,radio-i2c-rtc6226-qca.ko
0xeb233a45	__kmalloc	arm_smmu.ko,asix.ko,aw882xx_dlkm.ko...
0x4616a1da	__kthread_init_worker	msm_drm.ko,qcom_glink.ko,qrtr.ko...
0x68f31cbd	__list_add_valid	altmode-glink.ko,arm_smmu.ko,audpkt_ion_dlkm.ko...
0xe1537255	__list_del_entry_valid	altmode-glink.ko,arm_smmu.ko,audpkt_ion_dlkm.ko...
0x3c3fce39	__local_bh_enable_ip	qca_cld3_adrastea.ko,rmnet_core.ko,rmnet_shs.ko
0x3de9ade7	__lock_page	block2mtd.ko
0x6980ea4b	__log_post_read_mmio	arm_smmu.ko,bam_dma.ko,boot_stats.ko...
0xcf1211a8	__log_read_mmio	arm_smmu.ko,bam_dma.ko,boot_stats.ko...
0x31dfd5cd	__log_write_mmio	arm_smmu.ko,bam_dma.ko,bwmon.ko...
0xfdff74cc	__mdiobus_register	asix.ko
0x8e8feb5f	__media_device_register	camera.ko
0xd64ed259	__memcat_p	stm_core.ko
0x5d112304	__memcpy_fromio	camera.ko,msm_drm.ko,msm_kgsl.ko...
0xf77555cd	__memcpy_toio	camera.ko,memory_dump_v2.ko,msm_kgsl.ko...
0x18b48e28	__memset_io	bam_dma.ko,camera.ko,dcc_v2.ko...
0x3c689fba	__mhi_driver_register	ipam.ko,mhi_dev_dtr.ko,mhi_dev_netdev.ko...
0x30540f3e	__mmc_claim_host	sdhci-msm-scaling.ko
0x96c21ce0	__module_get	mtd.ko,mtd_blkdevs.ko,qrtr.ko...
0x7f02188f	__msecs_to_jiffies	aw882xx_dlkm.ko,camera.ko,cfg80211.ko...
0x925ac503	__mtd_next_device	mtd_blkdevs.ko
0x574add77	__mutex_init	altmode-glink.ko,arm_smmu.ko,audio_pkt_dlkm.ko...
0xf2d36f1c	__napi_schedule	ipam.ko,mhi_dev_netdev.ko,qca_cld3_adrastea.ko...
0xdf8c695a	__ndelay	clk-spmi-pmic-div.ko
0x63d367d1	__netdev_alloc_skb	asix.ko,ax88179_178a.ko,cfg80211.ko...
0xacfc8220	__netif_napi_del	ipam.ko,mhi_dev_netdev.ko,qca_cld3_adrastea.ko...
0xbf3126b4	__netlink_kernel_create	goodix_fod.ko,qca_cld3_adrastea.ko
0x46bc2066	__next_zones_zonelist	qcom_dma_heaps.ko
0x420964e3	__nla_parse	cfg80211.ko,qca_cld3_adrastea.ko,rmnet_wlan.ko...
0x431ec3a9	__nla_validate	cfg80211.ko,msm_sysstats.ko
0x75c97627	__nlmsg_put	goodix_fod.ko,qca_cld3_adrastea.ko,rmnet_core.ko
0xc60d0620	__num_online_cpus	msm_show_resume_irq.ko,qcom_rpmh.ko,zram.ko
0xe63c4eb8	__pagevec_release	msm_kgsl.ko
0x17849162	__pci_register_driver	cnss2.ko,pci-msm-drv.ko,wil6210.ko
0x280f9f14	__per_cpu_offset	coresight.ko,hyp_core_ctl.ko,memlat.ko...
0x503a285e	__platform_driver_register	adsp_loader_dlkm.ko,altmode-glink.ko,arm_smmu.ko...
0xc7870801	__pm_relax	camera.ko,cnss2.ko,focaltech_3683g.ko...
0xa7c8e259	__pm_runtime_disable	bam_dma.ko,clk-qcom.ko,coresight-dummy.ko...
0x871df5fa	__pm_runtime_idle	camcc-parrot.ko,camcc-ravelin.ko,clk-qcom.ko...
0x8637ac5d	__pm_runtime_resume	arm_smmu.ko,bam_dma.ko,camcc-parrot.ko...
0x5ec1d781	__pm_runtime_set_status	arm_smmu.ko,bam_dma.ko,coresight-funnel.ko...
0xd8ed0ca2	__pm_runtime_suspend	arm_smmu.ko,bam_dma.ko,cnss2.ko...
0x0ac3099d	__pm_runtime_use_autosuspend	arm_smmu.ko,bam_dma.ko,dwc3-msm.ko...
0xd0e5cf02	__pm_stay_awake	camera.ko,focaltech_3683g.ko,ipam.ko...
0x04bf3924	__pskb_copy_fclone	qrtr.ko
0xdf37f9b8	__pskb_pull_tail	cfg80211.ko,ipam.ko,qca_cld3_adrastea.ko...
0x201cfb38	__put_mtd_device	mtd_blkdevs.ko
0xe0d43458	__put_net	cfg80211.ko
0xacff24c2	__put_page	block2mtd.ko,msm_drm.ko,msm_kgsl.ko...
0x22ff2608	__put_task_struct	hung_task_enh.ko,msm-eva.ko,msm_sysstats.ko...
0x8d522714	__rcu_read_lock	cfg80211.ko,mem-hooks.ko,minidump.ko...
0x2469810f	__rcu_read_unlock	cfg80211.ko,mem-hooks.ko,minidump.ko...
0x80df53fd	__register_chrdev	bt_fm_slim.ko,btpower.ko,goodix_fod.ko...
0xa4f192a7	__register_mtd_parser	ofpart.ko
0x80e710a1	__register_rpmsg_driver	cdsprm.ko,frpc-adsprpc.ko,glink_pkt.ko...
0x85df9980	__regmap_init	regmap-spmi.ko,swr_dlkm.ko
0x1848221d	__release_region	camera.ko
0xa24f23d8	__request_module	chipreg.ko,mtd.ko,stm_core.ko
0x6d9ee2a0	__request_percpu_irq	qcom_wdt_core.ko
0x0ca39ba0	__request_region	camera.ko
0xfd8cab20	__rtc_register_device	rtc-pm8xxx.ko
0x60b761f8	__scsi_iterate_devices	ufs_qcom.ko
0x92da84d4	__scsi_print_sense	sg.ko
0x9a9739ab	__sdhci_add_host	sdhci-msm.ko
0x421e45ce	__sdhci_set_timeout	sdhci-msm.ko
0xb29c3014	__SetPageMovable	zsmalloc.ko
0x7c9ca58f	__sg_page_iter_next	msm_kgsl.ko,qcom_dma_heaps.ko
0xccd4c999	__sg_page_iter_start	msm_kgsl.ko,qcom_dma_heaps.ko
0x0e7969b5	__skb_get_hash	rmnet_shs.ko
0xb91e9123	__skb_gso_segment	rmnet_core.ko,rmnet_shs.ko
0x80804b5d	__skb_pad	qrtr.ko
0x7b37d9d5	__slim_driver_register	bt_fm_slim.ko
0xee82c92d	__sock_create	cfg80211.ko
0x339adcd8	__spi_alloc_controller	spi-msm-geni.ko
0x05937fc4	__spi_register_driver	camera.ko,focaltech_3683g.ko,focaltech_fts.ko...
0x5d6222e3	__spmi_driver_register	qcom-spmi-pmic.ko
0x2a216b85	__srcu_read_lock	stm_core.ko
0x70272ece	__srcu_read_unlock	stm_core.ko
0x98a9d10c	__stack_chk_fail	adsp_loader_dlkm.ko,altmode-glink.ko,arm_smmu.ko...
0x57674fd7	__sw_hweight16	cfg80211.ko
0x74c134b9	__sw_hweight32	camera.ko,cfg80211.ko,qca_cld3_adrastea.ko...
0x9f46ced8	__sw_hweight64	guestvm_loader.ko,hyp_core_ctl.ko,machine_dlkm.ko...
0xdc3fcbc9	__sw_hweight8	cfg80211.ko,gh_rm_drv.ko,wcd937x_dlkm.ko...
0x77bff7a7	__task_pid_nr_ns	msm_sysstats.ko,sg.ko
0x6a81cbea	__task_rq_lock	sched-walt.ko
0x3e3bad0a	__tasklet_hi_schedule	camera.ko,mhi.ko,qca_cld3_adrastea.ko
0x9d2ab8ac	__tasklet_schedule	bam_dma.ko,gpi.ko,ipam.ko...
0xa20d01ba	__trace_bprintk	lpass_cdc_dlkm.ko,lpass_cdc_rx_macro_dlkm.ko,lpass_cdc_tx_macro_dlkm.ko...
0x77d8e162	__traceiter_bw_hwmon_debug	bwmon.ko
0x834763e3	__traceiter_bw_hwmon_meas	bwmon.ko
0x8bf77743	__traceiter_bw_hwmon_update	bwmon.ko
0x448af6f4	__traceiter_gpu_mem_total	msm_kgsl.ko
0x76a283bd	__traceiter_mem_buf_alloc_info	mem_buf.ko
0x12b92842	__traceiter_memlat_dev_meas	memlat.ko
0x93480e80	__traceiter_memlat_dev_update	memlat.ko
0xf3c16c70	__traceiter_memlat_spm_update	memlat.ko
0x5ef295f1	__traceiter_print_icmp_rx	rmnet_shs.ko
0x1616b575	__traceiter_receive_alloc_req	mem_buf.ko
0xe0fc68cd	__traceiter_receive_alloc_resp_msg	mem_buf.ko
0x8d08fa3c	__traceiter_receive_relinquish_msg	mem_buf.ko
0x3efb8976	__traceiter_receive_relinquish_resp_msg	mem_buf.ko
0x1425f383	__traceiter_rmnet_freq_boost	rmnet_shs.ko
0xb93e79c7	__traceiter_rmnet_freq_reset	rmnet_shs.ko
0x7d601d34	__traceiter_rmnet_shs_err	rmnet_shs.ko
0xaeb50352	__traceiter_rmnet_shs_high	rmnet_shs.ko
0x6f448d01	__traceiter_rmnet_shs_low	rmnet_shs.ko
0xbf68f38c	__traceiter_rmnet_shs_wq_high	rmnet_shs.ko
0xb3bf0fda	__traceiter_rmnet_shs_wq_low	rmnet_shs.ko
0x1b792262	__traceiter_rproc_qcom_event	frpc-adsprpc.ko,glink_probe.ko,pmic_glink.ko...
0x41645476	__traceiter_send_alloc_req	mem_buf.ko
0x6436199b	__traceiter_send_alloc_resp_msg	mem_buf.ko
0x85ad17f9	__traceiter_send_relinquish_msg	mem_buf.ko
0x2c7162bb	__traceiter_send_relinquish_resp_msg	mem_buf.ko
0xf0f46523	__tracepoint_android_rvh_account_irq	sched-walt.ko
0x9ad4f5ba	__tracepoint_android_rvh_after_dequeue_task	sched-walt.ko
0x36d08831	__tracepoint_android_rvh_after_enqueue_task	sched-walt.ko
0x7ff307b5	__tracepoint_android_rvh_build_perf_domains	sched-walt.ko
0x89ef9455	__tracepoint_android_rvh_can_migrate_task	sched-walt.ko
0x7e34ad6c	__tracepoint_android_rvh_check_preempt_wakeup	sched-walt.ko
0xe5107ad0	__tracepoint_android_rvh_cpu_cgroup_attach	sched-walt.ko
0x3f3039c2	__tracepoint_android_rvh_cpu_cgroup_online	sched-walt.ko
0x6c5c2192	__tracepoint_android_rvh_do_ptrauth_fault	qcom_cpu_vendor_hooks.ko
0xe4ee9cad	__tracepoint_android_rvh_do_sched_yield	sched-walt.ko
0x048a1e8c	__tracepoint_android_rvh_do_undefinstr	qcom_cpu_vendor_hooks.ko
0x7681ac90	__tracepoint_android_rvh_find_busiest_queue	sched-walt.ko
0xd1276946	__tracepoint_android_rvh_find_lowest_rq	sched-walt.ko
0x97640e4f	__tracepoint_android_rvh_flush_task	sched-walt.ko
0xc39802e7	__tracepoint_android_rvh_force_compatible_post	sched-walt.ko
0xff8626e2	__tracepoint_android_rvh_force_compatible_pre	sched-walt.ko
0x2461d175	__tracepoint_android_rvh_iommu_setup_dma_ops	qcom_iommu_util.ko
0x0c5d1185	__tracepoint_android_rvh_migrate_queued_task	sched-walt.ko
0x798d7748	__tracepoint_android_rvh_new_task_stats	sched-walt.ko
0xa95004c7	__tracepoint_android_rvh_replace_next_task_fair	sched-walt.ko
0xc30c6b6f	__tracepoint_android_rvh_resume_cpus	sched-walt.ko
0x14e26599	__tracepoint_android_rvh_sched_cpu_dying	sched-walt.ko
0xdd953146	__tracepoint_android_rvh_sched_cpu_starting	sched-walt.ko
0x39d63958	__tracepoint_android_rvh_sched_exec	sched-walt.ko
0x2071a467	__tracepoint_android_rvh_sched_fork_init	sched-walt.ko
0xbadefe48	__tracepoint_android_rvh_sched_newidle_balance	sched-walt.ko
0x52e58c76	__tracepoint_android_rvh_sched_nohz_balancer_kick	sched-walt.ko
0x9b40afe0	__tracepoint_android_rvh_sched_setaffinity	sched-walt.ko
0xb6bce8f8	__tracepoint_android_rvh_schedule	sched-walt.ko
0x4bfae7d4	__tracepoint_android_rvh_select_task_rq_fair	sched-walt.ko
0xa1f10509	__tracepoint_android_rvh_select_task_rq_rt	sched-walt.ko
0x996cfb08	__tracepoint_android_rvh_set_balance_anon_file_reclaim	mem-hooks.ko
0xe14bb8a9	__tracepoint_android_rvh_set_gfp_zone_flags	mem-hooks.ko
0xf407ff54	__tracepoint_android_rvh_set_readahead_gfp_mask	mem-hooks.ko
0xbd034bf5	__tracepoint_android_rvh_set_skip_swapcache_flags	mem-hooks.ko
0x0b7e6c73	__tracepoint_android_rvh_set_task_cpu	sched-walt.ko
0xc2dce519	__tracepoint_android_rvh_show_max_freq	sched-walt.ko
0x0bd72419	__tracepoint_android_rvh_tick_entry	sched-walt.ko
0x82233cc0	__tracepoint_android_rvh_try_to_wake_up	sched-walt.ko
0xbc0d0d45	__tracepoint_android_rvh_try_to_wake_up_success	sched-walt.ko
0xb96cdd49	__tracepoint_android_rvh_ttwu_cond	sched-walt.ko
0xef03083e	__tracepoint_android_rvh_update_cpu_capacity	sched-walt.ko
0xf9395534	__tracepoint_android_rvh_update_cpus_allowed	sched-walt.ko
0xfbbc1cd6	__tracepoint_android_rvh_update_misfit_status	sched-walt.ko
0x6b60d8f1	__tracepoint_android_rvh_wake_up_new_task	sched-walt.ko
0x625c9d86	__tracepoint_android_vh_allow_domain_state	qcom_lpm.ko
0x7550cf49	__tracepoint_android_vh_binder_restore_priority	sched-walt.ko
0xf09743cd	__tracepoint_android_vh_binder_set_priority	sched-walt.ko
0x45c1c15b	__tracepoint_android_vh_binder_wakeup_ilocked	sched-walt.ko
0x63a6e496	__tracepoint_android_vh_check_uninterruptible_tasks	hung_task_enh.ko
0xbfea98d1	__tracepoint_android_vh_check_uninterruptible_tasks_dn	hung_task_enh.ko
0xefbedb90	__tracepoint_android_vh_cpu_idle_enter	qcom-pmu-lib.ko,qcom_lpm.ko
0xd391e1ed	__tracepoint_android_vh_cpu_idle_exit	qcom-pmu-lib.ko,qcom_lpm.ko
0x137e6ebe	__tracepoint_android_vh_cpuidle_psci_enter	msm_show_resume_irq.ko
0xaaacb3b6	__tracepoint_android_vh_cpuidle_psci_exit	msm_show_resume_irq.ko
0x0e8d666d	__tracepoint_android_vh_disable_thermal_cooling_stats	thermal_pause.ko
0xd29bebac	__tracepoint_android_vh_dump_throttled_rt_tasks	sched-walt.ko
0x86ca15d4	__tracepoint_android_vh_ftrace_dump_buffer	minidump.ko
0xd707ac7b	__tracepoint_android_vh_ftrace_format_check	minidump.ko
0xa485475e	__tracepoint_android_vh_ftrace_oops_enter	minidump.ko
0xecd968c8	__tracepoint_android_vh_ftrace_oops_exit	minidump.ko
0x0cbc20ca	__tracepoint_android_vh_ftrace_size_check	minidump.ko
0x080464cd	__tracepoint_android_vh_gic_resume	msm_show_resume_irq.ko
0x4842b6e5	__tracepoint_android_vh_gpio_block_read	pinctrl-parrot.ko,pinctrl-ravelin.ko
0x8064d573	__tracepoint_android_vh_ipi_stop	qcom_cpu_vendor_hooks.ko
0x5415675e	__tracepoint_android_vh_jiffies_update	bwmon.ko,memlat.ko,rq_stats.ko
0x8bf980ca	__tracepoint_android_vh_logbuf	qcom_logbuf_vendor_hooks.ko
0x783fd15a	__tracepoint_android_vh_logbuf_pr_cont	qcom_logbuf_vendor_hooks.ko
0x14e36ca8	__tracepoint_android_vh_oom_check_panic	mem-hooks.ko
0xe329d35d	__tracepoint_android_vh_printk_hotplug	qcom_cpu_vendor_hooks.ko
0xb4b343cc	__tracepoint_android_vh_process_killed	mem-hooks.ko
0xe1337b04	__tracepoint_android_vh_rproc_recovery	rproc_qcom_common.ko
0xe9cd95b9	__tracepoint_android_vh_rproc_recovery_set	icnss2.ko,rproc_qcom_common.ko
0xa3e74b24	__tracepoint_android_vh_scheduler_tick	memlat.ko,sched-walt.ko
0x5c575c4a	__tracepoint_android_vh_show_resume_epoch_val	msm_show_epoch.ko
0x64718122	__tracepoint_android_vh_show_suspend_epoch_val	msm_show_epoch.ko
0x63c884a5	__tracepoint_android_vh_subpage_dma_contig_alloc	mem-hooks.ko
0xbb9e5425	__tracepoint_android_vh_timer_calc_index	qcom_cpu_vendor_hooks.ko
0xde161ffb	__tracepoint_android_vh_try_fixup_sea	mem-hooks.ko
0x73ea45fb	__tracepoint_android_vh_ufs_check_int_errors	ufs_qcom.ko
0xf675fc6f	__tracepoint_android_vh_ufs_clock_scaling	ufs_qcom.ko
0x6d6c7e35	__tracepoint_android_vh_ufs_compl_command	ufs_qcom.ko
0xd20543e7	__tracepoint_android_vh_ufs_send_command	ufs_qcom.ko
0xee023024	__tracepoint_android_vh_ufs_send_tm_command	ufs_qcom.ko
0x8016b1df	__tracepoint_android_vh_ufs_send_uic_command	ufs_qcom.ko
0xd28119e8	__tracepoint_android_vh_update_topology_flags_workfn	sched-walt.ko
0xab619a41	__tracepoint_binder_transaction_received	sched-walt.ko
0x703d66a4	__tracepoint_bw_hwmon_debug	bwmon.ko
0xe94cf49e	__tracepoint_bw_hwmon_meas	bwmon.ko
0x69400281	__tracepoint_bw_hwmon_update	bwmon.ko
0xe279d62c	__tracepoint_cpu_frequency_limits	sched-walt.ko
0x16fa73fe	__tracepoint_gpu_mem_total	msm_kgsl.ko
0x3f573f55	__tracepoint_ipi_entry	qcom_lpm.ko
0xe612228f	__tracepoint_ipi_raise	qcom_lpm.ko
0x9f2b7eaa	__tracepoint_mem_buf_alloc_info	mem_buf.ko
0x1d14d8bf	__tracepoint_memlat_dev_meas	memlat.ko
0xd7078fd9	__tracepoint_memlat_dev_update	memlat.ko
0xbfd8c891	__tracepoint_memlat_spm_update	memlat.ko
0x9f96f449	__tracepoint_print_icmp_rx	rmnet_shs.ko
0x25c7cf67	__tracepoint_receive_alloc_req	mem_buf.ko
0x10769789	__tracepoint_receive_alloc_resp_msg	mem_buf.ko
0x4249be0b	__tracepoint_receive_relinquish_msg	mem_buf.ko
0x93831d2e	__tracepoint_receive_relinquish_resp_msg	mem_buf.ko
0x99737759	__tracepoint_rmnet_freq_boost	rmnet_shs.ko
0xd2715a86	__tracepoint_rmnet_freq_reset	rmnet_shs.ko
0x4a7e7fa8	__tracepoint_rmnet_shs_err	rmnet_shs.ko
0x6cee2a59	__tracepoint_rmnet_shs_high	rmnet_shs.ko
0x5efff444	__tracepoint_rmnet_shs_low	rmnet_shs.ko
0x90b8b08d	__tracepoint_rmnet_shs_wq_high	rmnet_shs.ko
0xb1ed5c1f	__tracepoint_rmnet_shs_wq_low	rmnet_shs.ko
0x96e7c744	__tracepoint_rproc_qcom_event	frpc-adsprpc.ko,glink_probe.ko,pmic_glink.ko...
0x19ebf04e	__tracepoint_rwmmio_post_read	arm_smmu.ko,bam_dma.ko,boot_stats.ko...
0xa035d76e	__tracepoint_rwmmio_read	arm_smmu.ko,bam_dma.ko,boot_stats.ko...
0x95575c33	__tracepoint_rwmmio_write	arm_smmu.ko,bam_dma.ko,bwmon.ko...
0xad25602f	__tracepoint_sched_overutilized_tp	sched-walt.ko
0x4044ba28	__tracepoint_sched_switch	sched-walt.ko
0x860662b8	__tracepoint_send_alloc_req	mem_buf.ko
0xb195ad84	__tracepoint_send_alloc_resp_msg	mem_buf.ko
0xe3aa8406	__tracepoint_send_relinquish_msg	mem_buf.ko
0xe83d220b	__tracepoint_send_relinquish_resp_msg	mem_buf.ko
0xfede9222	__tracepoint_suspend_resume	qcom_lpm.ko
0xa93df441	__tty_insert_flip_char	msm_geni_serial.ko
0x9e7d6bd0	__udelay	arm_smmu.ko,clk-qcom.ko,cnss2.ko...
0x27c24536	__uio_register_device	msm_sharedmem.ko
0x6bc3fbc0	__unregister_chrdev	bt_fm_slim.ko,btpower.ko,goodix_fod.ko...
0xf1969a8e	__usecs_to_jiffies	i2c-msm-geni.ko,qca_cld3_adrastea.ko
0xa8408d5e	__v4l2_device_register_subdev_nodes	camera.ko
0x52a1f6ef	__video_register_device	camera.ko,msm_drm.ko,msm_video.ko...
0x3eeb2322	__wake_up	audio_pkt_dlkm.ko,audio_prm_dlkm.ko,camera.ko...
0x2773c485	__wake_up_locked	msm_drm.ko
0x56470118	__warn_printk	arm_smmu.ko,camera.ko,cfg80211.ko...
0xf40e7a73	__xa_alloc	mem_buf_dev.ko
0x1765ea1f	__xa_alloc_cyclic	qrtr.ko
0x296cb509	__xa_insert	qrtr.ko
0x96ccf3d6	_copy_from_iter_full	qrtr.ko
0x11089ac7	_ctype	cfg80211.ko,ipam.ko,msm_kgsl.ko...
0x4be27a18	_dev_crit	msm_kgsl.ko
0x3199a1ef	_dev_emerg	qpnp-power-on.ko
0x5ed4c6ae	_dev_err	adsp_loader_dlkm.ko,altmode-glink.ko,arm_smmu.ko...
0x8eff6041	_dev_info	adsp_loader_dlkm.ko,arm_smmu.ko,aw882xx_dlkm.ko...
0xefae1c39	_dev_notice	arm_smmu.ko,gsim.ko,leds-aw2016.ko
0xbc7a4422	_dev_warn	altmode-glink.ko,arm_smmu.ko,clk-qcom.ko...
0xfe8c61f0	_raw_read_lock	leds-qpnp-flash-v2.ko,msm_kgsl.ko,sched-walt.ko...
0x8dee722d	_raw_read_lock_bh	gpi.ko,mhi.ko,qca_cld3_adrastea.ko
0x48112d76	_raw_read_lock_irq	mhi.ko
0xb1342cdb	_raw_read_lock_irqsave	gpi.ko,mhi.ko,minidump.ko...
0xdd4d55b6	_raw_read_unlock	leds-qpnp-flash-v2.ko,msm_kgsl.ko,sched-walt.ko...
